FID_1,X,Y,ID,Ni,Zn,Cr,SIGLE_PEDO,region_etm,GS
587,87194,160480,02/LA06306,8,27.2894736842,16.9393939394,(u)-Ldc2_3,1,3
537,90548,158041,02/LA05627,9,28.6052631579,25.0202020202,(x)Ldc,1,3
222,75270,137274,00941J,10.4,52.0808080808,20.4845360825,(x)Lda1,1,3
552,90628,155446,02/LA05824,16,54.9210526316,25.0202020202,(x)Ldc,1,3
477,89151,154427,02/LA04369,14,60.1842105263,27.0404040404,(x)Ldc,1,3
209,73429,138303,00941-K,11.3,54.202020202,29.2474226804,(x)Ldc0,1,3
13,87273,158024,00102F-2010,9.05,30.3636363636,25.0206185567,(x)Ada,1,4
534,93205,155969,02/LA05624,,40.4473684211,20.9797979798,(x)Lda,1,3
554,90124,156859,02/LA05827,11,44.3947368421,25.0202020202,(x)Ldc,1,3
72,89344,140753,00418B2010,15.1,62.7878787879,23.0618556701,(x)Ldc,1,3
221,75315,137469,00941I,9.63,48.2424242424,27.2886597938,(x)Lda0,1,3
223,75596,135925,00941P-2010,,48.3434343434,19.1443298969,(x)Ldc1,1,3
334,80196,153482,01041-C,,46.8282828283,26.3608247423,(x)Ldc,1,3
425,80508,142589,02/LA01477,14,53.6052631579,15.9292929293,Aba1,1,4
35,76607,141842,00288B-2010,14.1,49.0505050505,25.6391752577,Aba1,1,4
31,78720,143624,00251A-2010,13.8,52.9898989899,18.0103092784,Aba1,1,4
601,82245,142470,02/LA06420,14,69.3947368421,19.9696969697,Abp(c),1,4
616,87017,158193,02/LA08346,3,43.0789473684,29.0606060606,Ada,1,4
252,85411,157979,00978-C,10.9,46.0202020202,30.4845360825,Aca,1,4
92,72646,151900,00596B-2010,17.4,54,26.1546391753,Adb,1,4
108,72444,151711,00899A-2010,17.7,70.3636363636,34.8144329897,Adb,1,4
109,72400,151700,00899A2010,17.7,70.3636363636,34.8144329897,Adb,1,4
91,72697,151697,00596A-2010,14.3,50.7676767677,21.412371134,Ada0,1,4
385,73321,152107,01281D2010,13.3,42.5858585859,26.8762886598,Ada0,1,4
386,73321,152107,01281E2010,12.7,43.1919191919,24.7113402062,Ada0,1,4
